OBJECTID,LifeCycleS,Shape.STLe,TRANSPORT_,TRANSPOR_1,TRAVEL_DIR,SPEED_LIMI,TOTAL_NUMB,DISASTER_R,TRUCK_ROUT,LEFT_LOCAL,RIGHT_LOCA,STRUCTURED,STRUCTUR_1,HIGHWAY_RO,HIGHWAY__1,SINGLE_HOU,FROM_LEFT_,TO_LEFT_HO,FROM_RIGHT,TO_RIGHT_H,ACCESS_RES,FROM_VEHIC,TO_VEHICLE,last_edite,AZIMUTH
23999,ACT,102.559376327351814,2644276,RLN,B,"50","2",N,N,Sooke,Sooke,95544,Blewit Lane,,,,,,,,N,,,2024/11/18 21:50:32.000,158.711
22964,ACT,4.999482506220018,2620764,RLN,B,"5","2",N,N,Oak Bay,Oak Bay,20312,Brighton Ave,,,,2020,2048,2021,2049,N,,,2024/11/18 21:50:32.000,87.268
19013,ACT,298.144715606731381,2276932,RLN,B,"5","2",N,N,Metchosin,Metchosin,17555,Camp Thunderbird access Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,195.069
17664,ACT,453.473877051421596,1912370,RLN,B,"5","2",N,N,Salt Spring Island,Salt Spring Island,88727,Eagles Way,,,,,,,,N,,,2024/11/18 21:50:32.000,351.214
16152,ACT,9.983321553971903,1181863,RLN,B,"50","2",N,N,East Sooke,East Sooke,16217,Eliza Point Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,126.231
794,ACT,69.859920377818256,294088,RLN,B,"20","2",N,N,Central Saanich,Central Saanich,32143,emergency lane,,,,,,,,N,,,2024/11/18 21:50:32.000,15.128
803,ACT,322.794947052847476,294097,RLN,B,"20","2",N,N,Central Saanich,Central Saanich,32143,emergency lane,,,,,,,,N,,,2024/11/18 21:50:32.000,0.729
3484,ACT,25.199747530878160,297852,RLN,B,"20","2",N,N,Saanich,Saanich,32143,emergency lane,,,,,,,,N,,,2024/11/18 21:50:32.000,112.639
7338,ACT,21.257595635442875,304682,RLN,B,"20","2",N,N,Saanich,Saanich,32143,emergency lane,,,,,,,,N,,,2024/11/18 21:50:32.000,270.246
7884,ACT,41.886203138742474,305544,RLN,B,"20","2",N,N,Colwood,Colwood,32143,emergency lane,,,,,,,,N,,,2024/11/18 21:50:32.000,290.095
8340,ACT,18.375100263672035,306188,RLN,B,"20","2",N,N,Colwood,Colwood,32143,emergency lane,,,,,,,,N,,,2024/11/18 21:50:32.000,227.277
8692,ACT,71.284821740791429,306846,RLN,B,"20","2",N,N,Highlands,Highlands,32143,emergency lane,,,,,,,,N,,,2024/11/18 21:50:32.000,309.003
8998,ACT,31.328811783564340,307337,RLN,B,"20","2",N,N,Sooke,Sooke,32143,emergency lane,,,,,,,,N,,,2024/11/18 21:50:32.000,49.439
13813,ACT,9.377581499883425,447454,RLN,B,"20","2",N,N,Langford,Langford,32143,emergency lane,,,,,,,,N,,,2024/11/18 21:50:32.000,247.110
14371,ACT,70.524164247184430,512224,RLN,B,"20","2",N,N,Central Saanich,Central Saanich,32143,emergency lane,,,,,,,,N,,,2024/11/18 21:50:32.000,352.373
17090,ACT,53.475936008861979,1878826,RLN,B,"20","2",N,N,Sooke,Sooke,32143,emergency lane,,,,,,,,N,,,2024/11/18 21:50:32.000,298.522
17091,ACT,256.485671468586361,1878827,RLN,B,"20","2",N,N,Sooke,Sooke,32143,emergency lane,,,,,,,,N,,,2024/11/18 21:50:32.000,341.364
22125,ACT,19.929580547768687,2538367,RLN,B,"50","2",N,N,Langford,Langford,32143,emergency lane,,,,,,,,N,,,2024/11/18 21:50:32.000,129.805
22176,ACT,18.948316942937176,2538418,RLN,B,"50","2",N,N,View Royal,View Royal,32143,emergency lane,,,,,,,,N,,,2024/11/18 21:50:32.000,160.441
22180,ACT,21.264607019411390,2538422,RLN,B,"50","2",N,N,View Royal,View Royal,32143,emergency lane,,,,,,,,N,,,2024/11/18 21:50:32.000,164.427
22503,ACT,12.221245709419314,2603072,RLN,B,"20","2",N,N,Malahat,Malahat,32143,emergency lane,,,,,,,,N,,,2024/11/18 21:50:32.000,276.124
15984,ACT,48.223465928209329,757142,RLN,B,"50","2",N,N,Esquimalt,Esquimalt,100742,Esquimalt Gorge Park Access,,,,,,,,N,,,2024/11/18 21:50:32.000,89.583
16002,ACT,47.055080453767282,758106,RLN,B,"50","2",N,N,Esquimalt,Esquimalt,100742,Esquimalt Gorge Park Access,,,,,,,,N,,,2024/11/18 21:50:32.000,310.461
16065,ACT,340.564194057367729,867680,RLN,B,"50","2",N,N,Esquimalt,Esquimalt,100742,Esquimalt Gorge Park Access,,,,,,,,N,,,2024/11/18 21:50:32.000,281.671
117,ACT,37.554894027418513,293198,RLN,B,"20","2",N,N,View Royal,View Royal,28043,fire lane,,,,,,,,N,,,2024/11/18 21:50:32.000,43.158
390,ACT,84.586883451809484,293535,RLN,B,"20","2",N,N,Sidney,Sidney,28043,fire lane,,,,,,,,N,,,2024/11/18 21:50:32.000,335.613
1985,ACT,60.146390733276753,296007,RLN,B,"20","2",N,N,Victoria,Victoria,28043,fire lane,,,,,,,,R,,,2024/11/18 21:50:32.000,0.207
1989,ACT,196.745727528935191,296011,RLN,B,"20","2",N,N,Victoria,Victoria,28043,fire lane,,,,,,,,R,,,2024/11/18 21:50:32.000,1.756
8094,ACT,13.887621610988685,305820,RLN,B,"20","2",N,N,Metchosin,Metchosin,28043,fire lane,,,,,,,,R,,,2024/11/18 21:50:32.000,234.599
8367,ACT,43.929711859448290,306267,RLN,B,"20","2",N,N,Colwood,Colwood,28043,fire lane,,,,,,,,N,,,2024/11/18 21:50:32.000,299.204
8509,ACT,85.563084113382942,306506,RLN,B,"20","2",N,N,Langford,Langford,28043,fire lane,,,,,,,,N,,,2024/11/18 21:50:32.000,167.824
8532,ACT,35.525951335326688,306535,RLN,B,"20","2",N,N,Langford,Langford,28043,fire lane,,,,,,,,N,,,2024/11/18 21:50:32.000,205.185
8537,ACT,42.538460473435102,306541,RLN,B,"20","2",N,N,Langford,Langford,28043,fire lane,,,,,,,,N,,,2024/11/18 21:50:32.000,199.436
8848,ACT,31.657801228923024,307114,RLN,B,"20","2",N,N,Sooke,Sooke,28043,fire lane,,,,,,,,N,,,2024/11/18 21:50:32.000,245.066
11221,ACT,111.950449345041974,351884,RLN,B,"20","2",N,N,Langford,Langford,28043,fire lane,,,,,,,,N,,,2024/11/18 21:50:32.000,252.827
14003,ACT,60.325573019823025,453222,RLN,B,"20","2",N,N,Colwood,Colwood,28043,fire lane,,,,,,,,N,,,2024/11/18 21:50:32.000,290.417
24200,ACT,14.859032479942966,2648308,RLN,B,"15","2",N,N,Saanich,Saanich,28043,fire lane,,,,,,,,N,,,2024/11/18 21:50:32.000,83.249
25674,ACT,90.711135292706643,2689321,RLN,B,"50","2",N,N,Saanich,Saanich,28043,fire lane,,,,,,,,N,,,2024/11/18 21:50:32.000,66.210
25675,ACT,23.265455977914662,2689322,RLN,B,"50","2",N,N,Saanich,Saanich,28043,fire lane,,,,,,,,N,,,2024/11/18 21:50:32.000,359.643
25677,ACT,53.498268276858141,2689324,RLN,B,"50","2",N,N,Saanich,Saanich,28043,fire lane,,,,,,,,N,,,2024/11/18 21:50:32.000,249.696
25678,ACT,64.377456649889325,2689325,RLN,B,"50","2",N,N,Saanich,Saanich,28043,fire lane,,,,,,,,N,,,2024/11/18 21:50:32.000,263.184
16165,ACT,100.172611798335382,1213047,RLN,B,"50","2",N,N,Shirley,Shirley,88725,Flea Beach Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,5.247
20040,ACT,55.171701112526875,2404826,RLN,B,"50","2",N,N,Saanich,Saanich,72311,Gatsby Lane,,,,4485,4488,,,N,,,2024/11/18 21:50:32.000,21.984
11329,ACT,217.778820559253091,352352,RLN,F,"30","1",N,N,Saanich,Saanich,4297,Hamsterly Rd,,,,5330,5346,5331,5347,N,,,2024/11/18 21:50:32.000,358.348
9077,ACT,129.805960649507853,307441,RLN,B,"50","2",N,N,Sooke,Sooke,37749,Logan Lane,,,,6671,6699,6670,6698,N,,,2024/11/18 21:50:32.000,223.732
16041,ACT,211.405284455175405,862780,RLN,B,"50","2",N,N,North Saanich,North Saanich,24396,Mainwaring Rd,,,,,,8901,8909,N,,,2024/11/18 21:50:32.000,345.027
23512,ACT,16.520511966945818,2634659,RLN,B,"50","2",N,N,North Saanich,North Saanich,24396,Mainwaring Rd,,,,,,9055,9055,N,,,2024/11/18 21:50:32.000,252.749
24827,ACT,229.613189899556914,2651995,RLN,B,"50","2",N,N,Salt Spring Island,Salt Spring Island,33270,Margaret Lane,,,,151,169,,,N,,,2024/11/18 21:50:32.000,116.347
18900,ACT,92.717646006464165,2120567,RLN,B,"50","2",N,N,Colwood,Colwood,65001,Parandeh Lane,,,,,,,,N,,,2024/11/18 21:50:32.000,1.456
15940,ACT,248.663472678393305,677417,RLN,B,"50","2",N,N,North Saanich,North Saanich,40301,park access road,,,,,,,,N,,,2024/11/18 21:50:32.000,67.494
15938,ACT,201.924673964139402,676161,RLN,B,"50","2",N,N,North Saanich,North Saanich,54829,parking access road,,,,,,,,N,,,2024/11/18 21:50:32.000,149.490
24003,ACT,250.082307095650123,2644280,RLN,B,"50","2",N,N,Sooke,Sooke,95546,Plover Lane,,,,,,,,N,,,2024/11/18 21:50:32.000,68.350
15912,ACT,39.899205671291249,609987,RLN,B,"50","2",N,N,Mayne Island,Mayne Island,88724,Reef Bay Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,114.201
18559,ACT,167.678790609328615,2004621,RLN,B,"50","2",N,N,Sidney,Sidney,25308,Sandpiper Lane,,,,,,,,N,,,2024/11/18 21:50:32.000,132.702
15929,ACT,50.344390607467119,636725,RLN,B,"50","2",N,N,Pender Island,Pender Island,6006,Scarff Rd,,,,4711,4713,,,N,,,2024/11/18 21:50:32.000,211.249
2758,ACT,90.547030344122433,296996,RLN,F,"40","1",N,N,Victoria,Victoria,19913,Store St,,,,1499,1401,1498,1400,R,,,2024/11/18 21:50:32.000,168.180
7323,ACT,61.929459575391093,304651,RLN,B,"50","2",N,N,Victoria,Victoria,597,Thetis Lane,,,,100,138,101,139,N,,,2024/11/18 21:50:32.000,16.548
7324,ACT,53.335118101491069,304652,RLN,B,"50","2",N,N,Victoria,Victoria,597,Thetis Lane,,,,140,148,141,149,N,,,2024/11/18 21:50:32.000,12.329
22230,ACT,168.757583968800645,2538774,RLN,F,"50","2",N,N,Saanich,Saanich,36318,Trans-Canada Hwy Onramp,,,,,,,,N,,,2024/11/18 21:50:32.000,290.232
7429,ACT,20.580486636578968,304821,RLN,F,"30","1",N,N,Saanich,Saanich,9055,turning lane,,,,,,,,N,,,2024/11/18 21:50:32.000,128.219
13863,ACT,57.038322492897670,451775,RLN,F,"30","1",N,Y,Victoria,Victoria,9055,turning lane,,,,,,,,N,,,2024/11/18 21:50:32.000,327.394
21695,ACT,12.529469065367454,2489765,RLN,F,"15","1",N,N,Victoria,Victoria,9055,turning lane,,,,,,,,N,,,2024/11/18 21:50:32.000,256.714
21723,ACT,34.097370961703191,2489797,RLN,F,"50","1",N,N,Victoria,Victoria,9055,turning lane,,,,,,,,N,,,2024/11/18 21:50:32.000,10.081
21724,ACT,48.129286954760630,2489798,RLN,F,"50","1",N,N,Victoria,Victoria,9055,turning lane,,,,,,,,N,,,2024/11/18 21:50:32.000,37.636
21751,ACT,6.318930321660464,2489829,RLN,B,"50","2",N,N,Victoria,Victoria,9055,turning lane,,,,,,,,N,,,2024/11/18 21:50:32.000,345.898
19709,ACT,2404.190180890042484,2402517,RLN,B,"50","2",N,N,Galiano Island,Galiano Island,71548,Twin Cove Lane,,,,2400,2600,2401,2601,N,,,2024/11/18 21:50:32.000,269.811
389,ACT,153.730237584316853,293534,RLN,B,"20","2",N,N,Sidney,Sidney,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,90.769
451,ACT,109.067603266595370,293644,RLN,B,"20","2",N,N,Sidney,Sidney,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,91.043
6740,ACT,93.818068180748156,303033,RLN,B,"20","2",N,N,Oak Bay,Oak Bay,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,102.134
6741,ACT,62.034798265812071,303034,RLN,B,"20","2",N,N,Oak Bay,Oak Bay,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,104.533
7129,ACT,102.012844607921807,304170,RLN,B,"20","2",N,N,View Royal,View Royal,12312,unnamed lane,,,,,,,,R,,,2024/11/18 21:50:32.000,270.054
8256,ACT,233.370393687737021,306093,RLN,B,"20","2",N,N,Colwood,Colwood,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,213.910
8928,ACT,180.104683026617209,307234,RLN,B,"20","2",N,N,Colwood,Colwood,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,187.613
10702,ACT,57.355076873641799,330961,RLN,B,"20","2",N,N,View Royal,View Royal,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,217.066
10705,ACT,34.363710795692597,330964,RLN,B,"20","2",N,N,View Royal,View Royal,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,254.577
10706,ACT,37.110712964317997,330965,RLN,B,"20","2",N,N,View Royal,View Royal,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,177.296
10707,ACT,26.802051103973366,330966,RLN,B,"20","2",N,N,View Royal,View Royal,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,232.127
11644,ACT,83.083317407804230,367319,RLN,B,"5","2",N,N,View Royal,View Royal,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,327.974
11645,ACT,257.937146425286869,367320,RLN,B,"5","2",N,N,View Royal,View Royal,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,327.974
11646,ACT,6.758171601846168,367321,RLN,B,"5","2",N,N,View Royal,View Royal,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,29.624
14218,ACT,105.124207440057489,460316,RLN,B,"20","2",N,N,View Royal,View Royal,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,213.293
15936,ACT,95.415347415392233,665713,RLN,B,"15","2",N,N,Sidney,Sidney,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,359.745
19518,ACT,56.424856253980160,2389428,RLN,B,"20","2",N,N,View Royal,View Royal,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,276.706
21954,ACT,112.775150179037780,2528088,RLN,B,"20","2",N,N,Esquimalt,Esquimalt,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,88.011
22694,ACT,70.440250601138942,2614455,RLN,B,"50","2",N,N,Langford,Langford,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,188.864
23108,ACT,198.549269264671722,2624333,RLN,B,"50","2",N,N,Esquimalt,Esquimalt,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,81.271
23109,ACT,127.225479367695868,2624334,RLN,B,"50","2",N,N,Esquimalt,Esquimalt,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,93.865
23110,ACT,37.398957696973326,2624335,RLN,B,"50","2",N,N,Esquimalt,Esquimalt,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,95.896
23166,ACT,109.069715568861227,2625118,RLN,B,"20","2",N,N,View Royal,View Royal,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,9.088
23462,ACT,62.074082032192706,2632904,RLN,B,"50","2",N,N,Langford,Langford,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,150.111
24230,ACT,9.978787079099343,2648371,RLN,B,"5","2",N,N,Saanich,Saanich,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,316.469
24231,ACT,158.783755161942935,2648372,RLN,B,"5","2",N,N,Saanich,Saanich,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,314.685
25053,ACT,133.874969867648332,2659988,RLN,B,"50","2",N,N,Victoria,Victoria,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,345.588
25056,ACT,41.036754517992769,2659991,RLN,B,"50","2",N,N,Victoria,Victoria,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,102.104
25070,ACT,128.878535724146076,2660005,RLN,B,"50","2",N,N,Victoria,Victoria,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,2.317
25071,ACT,64.988988915738645,2660006,RLN,B,"50","2",N,N,Victoria,Victoria,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,184.939
25088,ACT,73.376479451288347,2660028,RLN,B,"50","2",N,N,Victoria,Victoria,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,266.464
25091,ACT,56.480921837112398,2660031,RLN,B,"50","2",N,N,Victoria,Victoria,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,355.903
25094,ACT,53.702255032074767,2660034,RLN,B,"50","2",N,N,Victoria,Victoria,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,164.308
25097,ACT,33.186472085474826,2660037,RLN,B,"50","2",N,N,Victoria,Victoria,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,176.029
25098,ACT,111.638043941420321,2660038,RLN,B,"50","2",N,N,Victoria,Victoria,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,170.350
25112,ACT,187.595480281917162,2660150,RLN,B,"5","2",N,N,Victoria,Victoria,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,30.128
25137,ACT,94.912244365922334,2660213,RLN,B,"50","2",N,N,Victoria,Victoria,12312,unnamed lane,,,,,,,,N,,,2024/11/18 21:50:32.000,211.872
7360,ACT,14.265805611336827,304736,RLN,F,"30","1",N,N,Saanich,Saanich,12421,unsigned,,,,,,,,N,,,2024/11/18 21:50:32.000,260.690
21637,ACT,25.553361304256075,2489659,RLN,F,"30","1",N,N,Saanich,Saanich,12421,unsigned,,,,,,,,N,,,2024/11/18 21:50:32.000,256.136
22135,ACT,37.774655746545193,2538377,RLN,F,"50","1",N,N,Victoria,Victoria,12421,unsigned,,,,,,,,N,,,2024/11/18 21:50:32.000,236.513
22136,ACT,16.202664233082164,2538378,RLN,F,"30","1",N,N,Victoria,Victoria,12421,unsigned,,,,,,,,N,,,2024/11/18 21:50:32.000,344.403
22143,ACT,39.383421531048533,2538385,RLN,F,"50","1",N,N,Victoria,Victoria,12421,unsigned,,,,,,,,N,,,2024/11/18 21:50:32.000,188.499
22144,ACT,48.343508799247381,2538386,RLN,F,"50","1",N,N,Victoria,Victoria,12421,unsigned,,,,,,,,N,,,2024/11/18 21:50:32.000,7.789
22149,ACT,57.791744833111643,2538391,RLN,F,"50","1",N,N,Victoria,Victoria,12421,unsigned,,,,,,,,N,,,2024/11/18 21:50:32.000,183.883
21551,ACT,12.374312810414969,2488011,RLN,F,"30","1",N,N,Langford,Langford,36552,uturn route,,,,,,,,N,,,2024/11/18 21:50:32.000,93.794
21552,ACT,51.984515589223413,2488014,RLN,F,"30","1",N,N,Langford,Langford,36552,uturn route,,,,,,,,N,,,2024/11/18 21:50:32.000,356.534
15925,ACT,49.802574367195120,623119,RLN,B,"50","2",N,N,Galiano Island,Galiano Island,88758,Vicarage Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,348.493
7325,ACT,107.638770047320762,304653,RLN,B,"50","2",N,N,Victoria,Victoria,31425,Violet Lane,,,,640,678,641,679,N,,,2024/11/18 21:50:32.000,126.195
24840,ACT,59.024279883728632,2652013,RLN,B,"50","2",N,N,Salt Spring Island,Salt Spring Island,12120,Willow Lane,,,,,,101,101,N,,,2024/11/18 21:50:32.000,120.545
22639,ACT,580.501182142158541,2611614,RLN,B,"50","2",N,N,East Sooke,East Sooke,26238,Yates Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,319.295
22640,ACT,131.970149418901173,2611615,RLN,B,"50","2",N,N,Metchosin,Metchosin,26238,Yates Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,18.779
16031,ACT,126.222385264936278,826187,RLN,B,"50","2",N,N,Salt Spring Island,Salt Spring Island,88726,Zable Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,46.521
16032,ACT,150.623489774769183,826193,RLN,B,"50","2",N,N,Salt Spring Island,Salt Spring Island,88728,Zobin Rd,,,,,,,,N,,,2024/11/18 21:50:32.000,27.279
1090,ACT,156.587257767712714,294528,RLO,B,"50","2",N,N,Saanich,Saanich,15835,Abbey Rd,,,,990,998,997,999,N,,,2024/11/18 21:50:32.000,236.291
1091,ACT,185.398663255053066,294529,RLO,B,"50","2",N,N,Saanich,Saanich,15835,Abbey Rd,,,,980,988,979,995,N,,,2024/11/18 21:50:32.000,322.033
1092,ACT,132.123409485084096,294530,RLO,B,"50","2",N,N,Saanich,Saanich,15835,Abbey Rd,,,,958,978,959,975,N,,,2024/11/18 21:50:32.000,142.033
9529,ACT,146.293635602498114,308139,RLO,B,"50","2",N,N,Mayne Island,Mayne Island,117,Abbott Rd,,,,490,508,491,505,N,,,2024/11/18 21:50:32.000,187.384
9530,ACT,227.344947441571122,308140,RLO,B,"50","2",N,N,Mayne Island,Mayne Island,117,Abbott Rd,,,,510,528,507,529,N,,,2024/11/18 21:50:32.000,184.045
95,ACT,47.582649833576355,293134,RLO,B,"50","2",N,N,View Royal,View Royal,7920,Abinger Pl,,,,220,228,221,231,N,,,2024/11/18 21:50:32.000,150.889
1746,ACT,649.414768477173084,295682,RLO,B,"50","2",N,N,North Saanich,North Saanich,10099,Aboyne Ave,,,,550,748,551,749,N,,,2024/11/18 21:50:32.000,92.964
5025,ACT,198.173882741692097,299949,RLO,B,"50","2",N,N,Saanich,Saanich,20199,Abraham Crt,,,,4350,4498,4351,4499,N,,,2024/11/18 21:50:32.000,90.429
7550,ACT,169.259868398778138,305033,RLO,B,"50","2",N,N,Colwood,Colwood,10036,Acacia Dr,,,,2831,2869,2830,2862,N,,,2024/11/18 21:50:32.000,258.283
7551,ACT,211.237926649829177,305035,RLO,B,"50","2",N,N,Colwood,Colwood,10036,Acacia Dr,,,,2871,2899,2864,2898,N,,,2024/11/18 21:50:32.000,200.316
11526,ACT,53.089309928176689,363236,RLO,B,"50","2",N,N,Victoria,Victoria,17620,Academy Close,,,,800,848,801,849,N,,,2024/11/18 21:50:32.000,124.043
25208,ACT,21.839858536171889,2661205,RLO,B,"50","2",N,N,Victoria,Victoria,17620,Academy Close,,,,850,860,851,861,N,,,2024/11/18 21:50:32.000,122.847
25209,ACT,77.438493481342988,2661206,RLO,B,"50","2",N,N,Victoria,Victoria,17620,Academy Close,,,,862,898,863,899,N,,,2024/11/18 21:50:32.000,122.848
12379,ACT,36.791718006230695,399105,RLO,B,"50","2",N,N,Langford,Langford,37690,Academy Way,,,,,,,,N,,,2024/11/18 21:50:32.000,0.057
17236,ACT,65.538027913036871,1895068,RLO,B,"40","2",N,N,Langford,Langford,37690,Academy Way,,,,1291,1295,1290,1294,N,,,2024/11/18 21:50:32.000,332.117
12330,ACT,75.618100220119260,398968,RLO,B,"50","2",N,N,Langford,Langford,16656,Acadian Rd,,,,981,999,980,998,N,,,2024/11/18 21:50:32.000,290.622
801,ACT,246.919034476364402,294095,RLO,B,"20","2",N,N,Central Saanich,Central Saanich,38138,access road,,,,,,,,N,,,2024/11/18 21:50:32.000,345.956
14308,ACT,368.796109147560401,463054,RLO,B,"20","2",N,N,Pender Island,Pender Island,38138,access road,,,,,,,,N,,,2024/11/18 21:50:32.000,92.480
17491,ACT,76.295559323593665,1910862,RLO,B,"40","2",N,N,Salt Spring Island,Salt Spring Island,38138,access road,,,,,,,,N,,,2024/11/18 21:50:32.000,25.051
22790,ACT,66.580714694594732,2616720,RLO,F,"20","1",N,N,Victoria,Victoria,38138,access road,,,,,,,,N,,,2024/11/18 21:50:32.000,292.464
22791,ACT,61.299088882584343,2616721,RLO,F,"20","1",N,N,Victoria,Victoria,38138,access road,,,,,,,,N,,,2024/11/18 21:50:32.000,290.376
22792,ACT,18.207670491855897,2616722,RLO,F,"20","1",N,N,Victoria,Victoria,38138,access road,,,,,,,,N,,,2024/11/18 21:50:32.000,203.917
22795,ACT,23.780570611320496,2616725,RLO,F,"20","1",N,N,Victoria,Victoria,38138,access road,,,,,,,,N,,,2024/11/18 21:50:32.000,194.054
22796,ACT,46.930080214719425,2616726,RLO,F,"20","1",N,N,Victoria,Victoria,38138,access road,,,,,,,,N,,,2024/11/18 21:50:32.000,115.711
22797,ACT,52.415789812044274,2616727,RLO,F,"20","1",N,N,Victoria,Victoria,38138,access road,,,,,,,,N,,,2024/11/18 21:50:32.000,94.279
22798,ACT,18.811137732016562,2616728,RLO,F,"20","1",N,N,Victoria,Victoria,38138,access road,,,,,,,,N,,,2024/11/18 21:50:32.000,40.153
8299,ACT,203.682873595228898,306140,RLO,B,"50","2",N,N,Colwood,Colwood,4747,Acemink Rd,,,,3331,3349,3330,3348,N,,,2024/11/18 21:50:32.000,200.568
8259,ACT,209.903678794083987,306097,RLO,B,"50","2",N,N,Colwood,Colwood,24554,Acland Ave,,,,501,545,500,548,N,,,2024/11/18 21:50:32.000,289.876
8262,ACT,64.925664754471327,306100,RLO,B,"50","2",N,N,Colwood,Colwood,24554,Acland Ave,,,,547,569,550,568,N,,,2024/11/18 21:50:32.000,288.621
